Name,Party,Constituency,State,Age,Gender,Prev_Contested,Prev_Wins,Assets,Cases,Prev_Party
OMALLOOR RAMACHANDRAN,Ambedkarite Party of India,ARANMULA,KERALA,53,M,0,0,195000,0,0
SANTHI OMALLOOR,Anna Democratic Human Rights Movement Party of India,ARANMULA,KERALA,36,F,0,0,50000,0,0
BIJU MATHEW,Bharatiya Janata Party,ARANMULA,KERALA,46,M,0,0,16905842,3,0
VEENA GEORGE,Communist Party of India (Marxist),ARANMULA,KERALA,44,F,1,1,21717808,0,2
K. SIVADASAN NAIR,Indian National Congress,ARANMULA,KERALA,72,M,2,1,9212961,1,6
ARJUNAN C. K,Independent,ARANMULA,KERALA,52,M,0,0,290000,0,2
G. SUGATHAN,Independent,ARANMULA,KERALA,65,M,1,0,23425000,1,2
PRASANTH ARANMULA,Independent,ARANMULA,KERALA,40,M,0,0,6505120,0,2
SIVADASAN NAIR,Independent,ARANMULA,KERALA,63,M,0,0,8540864,0,2
